Location,Latitude,Longitude,Quantity
Virginia,37.510861,-78.666382,144
Maryland,38.946466,-76.687282,6
Washington D.C.,38.892062,-77.019912,3
Pennsylvania,40.896694,-77.838886,34
Delaware,38.994926,-75.452394,2
New Jersey,40.110253,-74.655514,57
New York,40.713054,-74.007228,68
Ohio,40.415534,-82.70936,38
South Carolina,33.878572,-80.864614,6
North Carolina,35.52603,-79.130883,23
Connecticut,41.575155,-72.738288,7
Michigan,44.874798,-85.730977,20
Massachusetts,42.151077,-71.481104,24
New Hampshire,43.680429,-71.57139,5
Kentucky,37.526683,-85.290484,3
Vermont,44.075252,-72.662695,1
Indiana,39.919991,-86.2818,10
Maine,45.117911,-69.06137,3
Georgia,32.638481,-83.426574,48
Tennessee,35.842998,-86.343226,11
Illinois,40.124144,-89.148632,81
Alabama,32.756889,-86.844516,4
Wisconsin,44.639954,-89.732969,8
Florida,28.260731,-82.420978,72
Missouri,38.3675,-92.477244,10
Iowa,42.074659,-93.500061,11
Arkansas,34.899825,-92.439162,1
Minnesota,46.349153,-94.198308,19
Kansas,39.099792,-94.578559,6
Louisiana,30.921314,-91.840238,1
Nebraska,41.527099,-99.810595,5
Oklahoma,35.583449,-97.508297,6
South Dakota,44.43614,-100.230491,2
Texas,31.447238,-99.317341,139
Colorado,38.998552,-105.547832,39
Wyoming,42.999627,-107.55145,4
Utah,39.323779,-111.678222,15
New Mexico,34.421369,-106.108388,2
Arizona,34.293239,-111.664616,44
Idaho,44.389073,-114.659366,4
Washington,47.7511,-120.7401,53
Nevada,39.283294,-114.916992,19
Oregon,43.940449,-120.605279,23
California,37.211164,-119.662127,196
Hawaii,21.361013,-157.854309,2
Canada,56.511018,-105.908203,88
Mexico,19.43253,-99.13321,4
Costa Rica,9.970512,-84.196793,1
Colombia,4.5709,74.2973,4
Ireland,53.177616,-8.14161,21
Brazil,-10.861639,-53.104038,39
Iceland,64.990005,-18.59289,1
United Kingdom,54,-2,118
Spain,40.93,-3.4,19
Portugal,39.687378,-7.963023,2
Peru,-9.175354,-74.361778,1
France,46.623974,2.462247,72
Belgium,50.641949,4.659539,16
Netherlands,52.270329,5.614606,71
Norway,61.299999,9.255,4
Germany,51.090614,10.382207,114
Luxembourg,49.611277,6.129799,6
Denmark,56.032433,9.317246,4
Sweden,62.835373,16.742456,10
Switzerland,46.801807,8.235422,14
Italy,43.524673,12.1605,20
Czech Republic,49.73859,15.335233,4
Finland,64.524025,26.287458,10
Poland,52.121216,19.408318,7
Latvia,56.854328,24.931015,1
Austria,47.586853,14.141437,5
Russia,65.067703,116.8564,8
Croatia,45.133049,16.397858,1
Hungary,47.1664,19.413937,1
Serbia,43.871162,20.603973,1
Malta,35.902241,14.413739,1
Romania,45.843193,24.986855,6
Ukraine,49.024101,31.400038,2
Bulgaria,42.760147,25.241814,6
Argentina,-35.189907,-65.143982,1
Chile,-35.288689,-71.231911,2
Turkey,38.989273,35.43446,3
Nigeria,8.7006,8.5172,1
Cyprus,35.05386,33.239326,4
Egypt,26.317301,29.0548,2
Georgia (Nation),42.3154,43.3569,1
Iran,32.028599,54.490398,2
Jordan,32.363876,37.794193,1
China,33,100,313
Japan,36.652302,138.192093,47
Qatar,25.349701,51.011902,1
South Korea,36.635601,127.500603,19
United Arab Emirates,23.341,52.9063,5
Delhi,28.657291,77.22726,1
India,27.0858,80.314003,32
Taiwan,23.534,120.559402,4
South Africa,-28.741699,24.759501,16
Tanzania,-5.6088,34.5294,1
Hong Kong,22.264412,114.167061,42
Vietnam,16.7603,106.656601,5
Philippines,15.8564,121.131104,1
New Zealand,-43.9674,170.489395,1
Thailand,15.0086,100.955704,2
Malaysia,2.5961,112.883904,6
Australia,-25,134,69
Singapore,1.290453,103.852038,49
Indonesia,-0.7366,113.485001,11
